"Insurer","Policy","Room Rent","Proportionate Ded.","PED Waiting","Specific Illness Wait","Initial Waiting","Pre-Hosp","Post-Hosp","Co-pay","Restore Benefit","NCB / Renewal Bonus","Built-in SI Buffer","Air Ambulance","Domiciliary","Modern Treatments","Consumables","RULE VIOLATIONS"
"niva-bupa","GoActive","B","B","good","good","good","★GREAT","good","B","good","","","","good","","B",""
"niva-bupa","Health_Companion","B","B","good","good","good","good","good","B","★GREAT","good","","","good","","B",""
"niva-bupa","Health_Premia_Gold","B","B","good","★GREAT","good","★GREAT","good","B","★GREAT","good","","","good","good","B",""
"niva-bupa","Health_Premia_Platinum","good","","good","★GREAT","good","★GREAT","good","B","★GREAT","good","","","good","good","B",""
"niva-bupa","Health_Premia_Silver","good","B","good","★GREAT","good","★GREAT","good","B","good","good","","","good","good","B",""
"niva-bupa","Health_Pulse_Classic","B","B","good","good","good","good","good","B","good","★GREAT","","","","B","B",""
"niva-bupa","Health_Pulse_Enhanced","good","B","good","good","good","good","good","B","good","★GREAT","","","good","B","B",""
"niva-bupa","Health_Recharge_Super_TopUp","B","B","good","good","good","good","good","B","B","good","","","good","B","B",""
"niva-bupa","HeartBeat_Gold","B","B","good","good","good","good","good","B","★GREAT","U","★GREAT","","","","B",""
"niva-bupa","HeartBeat_Platinum","B","B","good","good","good","good","good","B","★GREAT","U","","","","","",""
"niva-bupa","ReAssure","U","","good","good","good","good","good","B","★GREAT","★GREAT","★GREAT","","","","B",""
"niva-bupa","ReAssure_2_Bronze_Plus","★GREAT","B","good","good","good","good","good","★GREAT","U","B","★GREAT","good","good","good","B",""
"niva-bupa","ReAssure_2_Platinum_Plus","★GREAT","","good","good","good","good","good","","","","★GREAT","good","good","good","U",""
"niva-bupa","ReAssure_2_Titanium_Plus","★GREAT","","good","good","good","good","good","B","★GREAT","U","★GREAT","","","","U",""
"niva-bupa","Senior_First_Gold","B","B","good","good","good","good","good","B","★GREAT","good","★GREAT","","","B","B",""
"niva-bupa","Senior_First_Platinum","U","","good","good","good","good","good","B","★GREAT","U","★GREAT","","","B","B",""
"star-health-care","Assure","good","B","good","good","good","good","good","B","★GREAT","good","","good","","","★GREAT",""
"star-health-care","Cancer_Care_Platinum","good","B","good","good","good","good","good","B","","good","","","","B","",""
"star-health-care","Cardiac_Care_Platinum","good","","good","good","good","good","good","B","good","good","","","","B","B",""
"star-health-care","Comprehensive","good","","good","good","good","good","good","B","★GREAT","★GREAT","","","","B","",""
"star-health-care","Diabetes_Safe","good","B","good","good","good","good","good","B","B","U","","","","good","B",""
"star-health-care","Family_Health_Optima","B","B","good","good","good","good","good","B","good","★GREAT","★GREAT","good","good","B","B",""
"star-health-care","Health_Premier","B","B","good","good","good","good","good","B","good","","","good","","B","★GREAT",""
"star-health-care","Medi_Classic","B","B","good","good","good","good","B","B","good","B","","","","good","B",""
"star-health-care","Medi_Classic_Gold","B","B","good","good","good","good","good","B","good","B","","","","B","B",""
"star-health-care","Red_Carpet_Senior_Citizen","B","B","★GREAT","good","good","good","","B","","","","","","B","",""
"star-health-care","Smart_Health_Pro","good","","good","good","good","good","good","★GREAT","good","★GREAT","good","good","good","good","good",""
"star-health-care","Special_Care","B","B","good","good","good","","B","B","","","","","","B","",""
"star-health-care","Special_Care_Gold","B","","good","good","good","good","good","B","U","U","","","","B","B",""
"star-health-care","Star_Health_Gain","B","B","good","good","good","good","good","B","U","U","","","","B","U",""
"star-health-care","Super_Star","★GREAT","","good","good","good","★GREAT","good","B","★GREAT","★GREAT","","good","good","good","B",""
"star-health-care","Super_Surplus_Gold","good","B","★GREAT","★GREAT","good","good","good","B","★GREAT","U","","good","","B","B",""
"star-health-care","Women_Care","B","B","good","good","good","good","good","★GREAT","★GREAT","good","","good","","B","★GREAT",""
"star-health-care","Young_Star","good","B","★GREAT","★GREAT","good","good","good","","good","good","","","","good","B",""
