insurer,file,bytes,pages,has_extractable_text,sample
aditya-birla,policy-wording/aditya-birla/Activ_One_MAX_Plus.pdf,533082,55,True,"This Policy is a contract of insurance issued by ADITYA BIRLA HEALTH INSURANCE CO. LIMITED. (hereina/fter called the ‘We / Our / Us / Insurer / Company’) to the proposer mentioned in the Policy Schedule (hereina/fter called the ‘You / Your / Policyholder’) to cover the person(s) named in the Policy Schedule (hereina/fter called the ‘Insured Person/s). The Policy has been issued on the basis of the Disclosure to Information Norm, including the information provided by You in respect of the Insured"
aditya-birla,policy-wording/aditya-birla/Activ_One_NXT.pdf,611016,55,True,"This Policy is a contract of insurance issued by ADITYA BIRLA HEALTH INSURANCE CO. LIMITED. (hereina/fter called the ‘We / Our / Us / Insurer / Company’) to the proposer mentioned in the Policy Schedule (hereina/fter called the ‘You / Your / Policyholder’) to cover the person(s) named in the Policy Schedule (hereina/fter called the ‘Insured Person/s). The Policy has been issued on the basis of the Disclosure to Information Norm, including the information provided by You in respect of the Insured"
aditya-birla,policy-wording/aditya-birla/Activ_One_SAVR.pdf,536919,56,True,"This Policy is a contract of insurance issued by ADITYA BIRLA HEALTH INSURANCE CO. LIMITED. (hereina/fter called the ‘We / Our / Us / Insurer / Company’) to the proposer mentioned in the Policy Schedule (hereina/fter called the ‘You / Your / Policyholder’) to cover the person(s) named in the Policy Schedule (hereina/fter called the ‘Insured Person/s). The Policy has been issued on the basis of the Disclosure to Information Norm, including the information provided by You in respect of the Insured"
aditya-birla,policy-wording/aditya-birla/Activ_One_VIP.pdf,468940,50,True,"This Policy is a contract of insurance issued by ADITYA BIRLA HEALTH INSURANCE CO. LIMITED. (hereina/fter called the ‘We / Our / Us / Insurer / Company’) to the proposer mentioned in the Policy Schedule (hereina/fter called the ‘You / Your / Policyholder’) to cover the person(s) named in the Policy Schedule (hereina/fter called the ‘Insured Person/s). The Policy has been issued on the basis of the Disclosure to Information Norm, including the information provided by You in respect of the Insured"
aditya-birla,policy-wording/aditya-birla/Activ_One_VIP_Plus.pdf,467782,49,True,"This Policy is a contract of insurance issued by ADITYA BIRLA HEALTH INSURANCE CO. LIMITED. (hereina/fter called the ‘We / Our / Us / Insurer / Company’) to the proposer mentioned in the Policy Schedule (hereina/fter called the ‘You / Your / Policyholder’) to cover the person(s) named in the Policy Schedule (hereina/fter called the ‘Insured Person/s). The Policy has been issued on the basis of the Disclosure to Information Norm, including the information provided by You in respect of the Insured"
aditya-birla,policy-wording/aditya-birla/Activ_One_VYTL.pdf,549932,54,True,"This Policy is a contract of insurance issued by ADITYA BIRLA HEALTH INSURANCE CO. LIMITED. (hereina/fter called the ‘We / Our / Us / Insurer / Company’) to the proposer mentioned in the Policy Schedule (hereina/fter called the ‘You / Your / Policyholder’) to cover the person(s) named in the Policy Schedule (hereina/fter called the ‘Insured Person/s). The Policy has been issued on the basis of the Disclosure to Information Norm, including the information provided by You in respect of the Insured"
care,policy-wording/care/Care_Advantage.pdf,2460959,,False,ERROR: DependencyError: cryptography>=3.1 is required for AES algorithm
care,policy-wording/care/Care_Care.pdf,560121,,False,ERROR: DependencyError: cryptography>=3.1 is required for AES algorithm
care,policy-wording/care/Care_Classic.pdf,1794766,,False,ERROR: DependencyError: cryptography>=3.1 is required for AES algorithm
care,policy-wording/care/Care_Enhance_Top_Up.pdf,1892406,,False,ERROR: DependencyError: cryptography>=3.1 is required for AES algorithm
care,policy-wording/care/Care_Freedom.pdf,1774639,,False,ERROR: DependencyError: cryptography>=3.1 is required for AES algorithm
care,policy-wording/care/Care_Heart.pdf,1849605,,False,ERROR: DependencyError: cryptography>=3.1 is required for AES algorithm
care,policy-wording/care/Care_Joy_Today.pdf,1819721,,False,ERROR: DependencyError: cryptography>=3.1 is required for AES algorithm
care,policy-wording/care/Care_Joy_Tomorrow.pdf,1819721,,False,ERROR: DependencyError: cryptography>=3.1 is required for AES algorithm
care,policy-wording/care/Care_Plus_Complete.pdf,2048063,,False,ERROR: DependencyError: cryptography>=3.1 is required for AES algorithm
care,policy-wording/care/Care_Plus_Youth.pdf,2048063,,False,ERROR: DependencyError: cryptography>=3.1 is required for AES algorithm
care,policy-wording/care/Care_Senior.pdf,509379,,False,ERROR: DependencyError: cryptography>=3.1 is required for AES algorithm
care,policy-wording/care/Care_Senior_Health_Advantage.pdf,452640,,False,ERROR: DependencyError: cryptography>=3.1 is required for AES algorithm
care,policy-wording/care/Care_Supreme.pdf,1853377,,False,ERROR: DependencyError: cryptography>=3.1 is required for AES algorithm
care,policy-wording/care/Care_Supreme_Enhance_Super_TopUp.pdf,1788255,,False,ERROR: DependencyError: cryptography>=3.1 is required for AES algorithm
care,policy-wording/care/Care_Supreme_Senior_Premium.pdf,1853377,,False,ERROR: DependencyError: cryptography>=3.1 is required for AES algorithm
care,policy-wording/care/Care_Supreme_Senior_Super.pdf,1853377,,False,ERROR: DependencyError: cryptography>=3.1 is required for AES algorithm
care,policy-wording/care/Care_Supreme_Super_Saver.pdf,1779664,,False,ERROR: DependencyError: cryptography>=3.1 is required for AES algorithm
care,policy-wording/care/Care_Supreme_VFM.pdf,1853377,,False,ERROR: DependencyError: cryptography>=3.1 is required for AES algorithm
care,policy-wording/care/Care_Ultimate.pdf,1998145,,False,ERROR: DependencyError: cryptography>=3.1 is required for AES algorithm
hdfc-ergo,policy-wording/hdfc-ergo/Easy_Health_Exclusive.pdf,526591,46,True,"HDFC ERGO General Insurance Company Limited Policy Wording Easy Health HDFC ERGO General Insurance Company Limited. IRDAI Reg. No.146 CIN: U66030MH2007PLC177117. Registered & Corporate Office: 6th Floor, Leela Business Park, Andheri -Kurla Road, Andheri (East), Mumbai – 400 059. Easy Health - UIN: HDFHLIP25004V082425 1 Preamble HDFC ERGO General Insurance Company Limited will cover all Insured Persons under this Policy upto the Sum Insured. The insurance cover is governed by, and subject to, the"
hdfc-ergo,policy-wording/hdfc-ergo/Easy_Health_Premium.pdf,776264,50,True,"HDFC ERGO General Insurance Company Limited DFC ERGO General Insurance Company Limited. IRDAI Reg. No.146. CIN: U66030MH2007PLC177117. Registered & Corporate Office: 1st Floor, HDFC House, 165-166 Backbay Reclamation, H. T. Parekh Marg, Churchgate, Mumbai – 400 020.. Easy Health UIN: HDFHLIP25004V082425 1 | P a g e EASY HEALTH Preamble HDFC ERGO General Insurance Company Limited will cover all Insured Persons under this Policy upto the Sum Insured. The insurance cover is governed by, and subject"
hdfc-ergo,policy-wording/hdfc-ergo/Easy_Health_Standard.pdf,526591,46,True,"HDFC ERGO General Insurance Company Limited Policy Wording Easy Health HDFC ERGO General Insurance Company Limited. IRDAI Reg. No.146 CIN: U66030MH2007PLC177117. Registered & Corporate Office: 6th Floor, Leela Business Park, Andheri -Kurla Road, Andheri (East), Mumbai – 400 059. Easy Health - UIN: HDFHLIP25004V082425 1 Preamble HDFC ERGO General Insurance Company Limited will cover all Insured Persons under this Policy upto the Sum Insured. The insurance cover is governed by, and subject to, the"
hdfc-ergo,policy-wording/hdfc-ergo/Energy_Gold.pdf,408865,42,True,"HDFC ERGO General Insurance Company Limited Policy Wording Energy HDFC ERGO General Insurance Company Limited. IRDAI Reg. No.146 CIN: U66030MH2007PLC177117. Registered & Corporate Office: 6th Floor, Leela Business Park, Andheri-Kurla Road, Andheri (East), Mumbai – 400 059. UIN: Energy - HDFHLIP26048V052526 1 Table of Contents Sr. No. Particulars Page No. Preamble 2 Section A Definitions 2 Standard Definitions 2 Specific Definitions 7 Section B Benefits 9 I. Hospitalization Covers 9 1. In-Patient"
hdfc-ergo,policy-wording/hdfc-ergo/Energy_Silver.pdf,408865,42,True,"HDFC ERGO General Insurance Company Limited Policy Wording Energy HDFC ERGO General Insurance Company Limited. IRDAI Reg. No.146 CIN: U66030MH2007PLC177117. Registered & Corporate Office: 6th Floor, Leela Business Park, Andheri-Kurla Road, Andheri (East), Mumbai – 400 059. UIN: Energy - HDFHLIP26048V052526 1 Table of Contents Sr. No. Particulars Page No. Preamble 2 Section A Definitions 2 Standard Definitions 2 Specific Definitions 7 Section B Benefits 9 I. Hospitalization Covers 9 1. In-Patient"
hdfc-ergo,policy-wording/hdfc-ergo/Equicover.pdf,435713,31,True,"HDFC ERGO General Insurance Company Limited Policy Wording HDFC ERGO EquiCover Health HDFC ERGO General Insurance Company Limited. IRDAI Reg. No.146 CIN: U66030MH2007PLC177117. Registered & Corporate Office : 6th Floor, Leela Business Park, Andheri -Kurla Road, Andheri (East), Mumbai – 400 059. UIN: HDFC ERGO EquiCover Health - HDFHLIP23192V012223 1 1. Preamble This Policy is a contract of insurance issued by HDFC ERGO General Insurance Company Limited (hereinafter called the ‘Company’) to the p"
hdfc-ergo,policy-wording/hdfc-ergo/Health_Wallet.pdf,522701,45,True,"HDFC ERGO General Insurance Company Limited Policy Wordings Health Wallet HDFC ERGO General Insurance Company Limited. IRDAI Reg. No.146. CIN: U66030MH2007PLC177117.Registered & Corporate Office: 6th Floor, Leela Business Park, Andheri-Kurla Road, Andheri (East), Mumbai – 400 059. UIN Health Wallet – HDHHLIP21337V022021 1 TABLE OF CONTENTS S. No. Descriptions Page No. Preamble 3 A Definitions 3 1 Standard Definitions 3 2 Specific Definitions 8 B Benefits 10 1 In-patient Benefits 10 i. In-patient"
hdfc-ergo,policy-wording/hdfc-ergo/MyHealth_Koti_Suraksha.pdf,844776,74,True,"HDFC ERGO General Insurance Company Limited Policy Wording my: health Koti Suraksha HDFC ERGO General Insurance Company Limited. IRDAI Reg. No.146 CIN: U66030MH2007PLC177117. Registered & Corporate Office: 6th Floor, Leela Business Park, Andheri -Kurla Road, Andheri (East), Mumbai – 400 059. UIN: my: health Koti Suraksha - HDFHLIP21131V012021 1 Table of Contents Sr. No. Particulars Page No. Section A Definitions 3 I. Standard Definition applicable to Policy 3 II. Specific Definition 8 III. Defin"
hdfc-ergo,policy-wording/hdfc-ergo/MyHealth_Medisure_Super_TopUp.pdf,493202,35,True,"HDFC ERGO General Insurance Company Limited Policy Wording my:health Medisure Super Top Up Insurance HDFC ERGO General Insurance Company Limited. IRDAI Reg. No.146 CIN: U66030MH2007PLC177117. Registered & Corporate Office: 6th Floor, Leela Business Park, Andheri-Kurla Road, Andheri (East), Mumbai – 400 059. UIN: my:health Medisure Super Top Up Insurance - HDFHLIP22021V042122 1 Table of Contents Sr. No. Particulars Page No. A Preamble 3 B Definitions 3 I. Standard Definitions 3 II. Specific Defin"
hdfc-ergo,policy-wording/hdfc-ergo/MyHealth_Suraksha_Gold.pdf,465682,34,True,1 CONTENTS Section Description Page No. Preamble 4 Section A Definitions 4 Standard Definitions 6 Specific Definitions 9 Section B Benefits 10 I Hospitalization Cover 10 1. Medical Expenses 10 2. Home Healthcare 10 3. Domiciliary Hospitalization 10 4. Pre-Hospitalization cover 10 5. Post-Hospitalization cover 10 6. Day Care Procedures 10 7. Road Ambulance 11 8. Organ Donor Expenses 11 9. Alternative Treatments 11 II Renewal Benefits 11 1. Preventive Health Check-Up 11 2. Cumulative Bonus 11 3. m
hdfc-ergo,policy-wording/hdfc-ergo/MyHealth_Suraksha_Platinum.pdf,465682,34,True,1 CONTENTS Section Description Page No. Preamble 4 Section A Definitions 4 Standard Definitions 6 Specific Definitions 9 Section B Benefits 10 I Hospitalization Cover 10 1. Medical Expenses 10 2. Home Healthcare 10 3. Domiciliary Hospitalization 10 4. Pre-Hospitalization cover 10 5. Post-Hospitalization cover 10 6. Day Care Procedures 10 7. Road Ambulance 11 8. Organ Donor Expenses 11 9. Alternative Treatments 11 II Renewal Benefits 11 1. Preventive Health Check-Up 11 2. Cumulative Bonus 11 3. m
hdfc-ergo,policy-wording/hdfc-ergo/MyHealth_Suraksha_Silver.pdf,465682,34,True,1 CONTENTS Section Description Page No. Preamble 4 Section A Definitions 4 Standard Definitions 6 Specific Definitions 9 Section B Benefits 10 I Hospitalization Cover 10 1. Medical Expenses 10 2. Home Healthcare 10 3. Domiciliary Hospitalization 10 4. Pre-Hospitalization cover 10 5. Post-Hospitalization cover 10 6. Day Care Procedures 10 7. Road Ambulance 11 8. Organ Donor Expenses 11 9. Alternative Treatments 11 II Renewal Benefits 11 1. Preventive Health Check-Up 11 2. Cumulative Bonus 11 3. m
hdfc-ergo,policy-wording/hdfc-ergo/Optima_Lite.pdf,2532411,159,True,"HDFC ERGO Secure 4in1 Policy Wordings HDFC ERGO General Insurance Company Limited. IRDAI Reg. No. 146. CIN: U66030MH2007PLC177117. Registered & Corporate Office: 6th Floor, Leela Business Park, Andheri-Kurla Road, Andheri (East), Mumbai – 400 059. UIN: HDFC ERGO Secure 4in1 - HDFHLIP25040V042425."
hdfc-ergo,policy-wording/hdfc-ergo/Optima_Restore.pdf,589829,49,True,"HDFC ERGO General Insurance Company Limited Policy Wording Optima Restore HDFC ERGO General Insurance Company Limited. IRDAI Reg. No.146 CIN: U66030MH2007PLC177117. Registered & Corporate Office: 6th Floor, Leela Business Park, Andheri -Kurla Road, Andheri (East), Mumbai – 400 059. UIN: Optima Restore - HDFHLIP25012V082425 1 HDFC ERGO General Insurance Company Limited will cover all the Insured Persons under this Policy upto the Sum Insured. The insurance cover is governed by, and subject to, th"
hdfc-ergo,policy-wording/hdfc-ergo/Optima_Secure.pdf,625359,53,True,"HDFC ERGO General Insurance Company Limited Policy Wording my: Optima Secure HDFC ERGO General Insurance Company Limited. IRDAI Reg. No.146 CIN: U66030MH2007PLC177117. Registered & Corporate Office: 6th Floor, Leela Business Park, Andheri -Kurla Road, Andheri (East), Mumbai – 400 059. UIN: my: Optima Secure - HDFHLIP25041V062425 1 Table of Contents Sr. No. Particulars Page No. Preamble 2 Operative Clause 2 A.1.1 Standard Definitions 2 A.1.2 Specific Definitions 2 B.1 Base Coverages 11 B.2 Option"
hdfc-ergo,policy-wording/hdfc-ergo/Optima_Secure_Global.pdf,625359,53,True,"HDFC ERGO General Insurance Company Limited Policy Wording my: Optima Secure HDFC ERGO General Insurance Company Limited. IRDAI Reg. No.146 CIN: U66030MH2007PLC177117. Registered & Corporate Office: 6th Floor, Leela Business Park, Andheri -Kurla Road, Andheri (East), Mumbai – 400 059. UIN: my: Optima Secure - HDFHLIP25041V062425 1 Table of Contents Sr. No. Particulars Page No. Preamble 2 Operative Clause 2 A.1.1 Standard Definitions 2 A.1.2 Specific Definitions 2 B.1 Base Coverages 11 B.2 Option"
hdfc-ergo,policy-wording/hdfc-ergo/Optima_Secure_Global_Plus.pdf,625359,53,True,"HDFC ERGO General Insurance Company Limited Policy Wording my: Optima Secure HDFC ERGO General Insurance Company Limited. IRDAI Reg. No.146 CIN: U66030MH2007PLC177117. Registered & Corporate Office: 6th Floor, Leela Business Park, Andheri -Kurla Road, Andheri (East), Mumbai – 400 059. UIN: my: Optima Secure - HDFHLIP25041V062425 1 Table of Contents Sr. No. Particulars Page No. Preamble 2 Operative Clause 2 A.1.1 Standard Definitions 2 A.1.2 Specific Definitions 2 B.1 Base Coverages 11 B.2 Option"
hdfc-ergo,policy-wording/hdfc-ergo/Optima_Senior.pdf,380716,32,True,"HDFC ERGO General Insurance Company Limited Policy Wording Optima Senior HDFC ERGO General Insurance Company Limited. IRDAI Reg. No.146 CIN: U66030MH2007PLC177117. Registered & Corporate Office: 6th Floor, Leela Business Park, Andheri -Kurla Road, Andheri (East), Mumbai – 400 059. UIN: Optima Senior - HDHHLIP21379V022021 1 Table of Contents Sr. No. Particulars Page No. Preamble 2 Section A Definitions 2 I. Standard Definitions 2 II. Specific Definitions 6 Section B Benefits 7 I. Coverage 7 II. C"
hdfc-ergo,policy-wording/hdfc-ergo/Optima_Super_Secure.pdf,625359,53,True,"HDFC ERGO General Insurance Company Limited Policy Wording my: Optima Secure HDFC ERGO General Insurance Company Limited. IRDAI Reg. No.146 CIN: U66030MH2007PLC177117. Registered & Corporate Office: 6th Floor, Leela Business Park, Andheri -Kurla Road, Andheri (East), Mumbai – 400 059. UIN: my: Optima Secure - HDFHLIP25041V062425 1 Table of Contents Sr. No. Particulars Page No. Preamble 2 Operative Clause 2 A.1.1 Standard Definitions 2 A.1.2 Specific Definitions 2 B.1 Base Coverages 11 B.2 Option"
icici-lombard,policy-wording/icici-lombard/Elevate.pdf,448281,45,True,"IRDA Reg. No. 115 Mailing Address: 601 / 602, 6th Floor, Interface Building No. 16, New Link Road, Malad (West), Mumbai - 400 064. CIN: L67200MH2000PLC129408 Registered Office Address: ICICI Lombard House, 414, P Balu Marg, Off Veer Savarkar Road, Nr Siddhi Vinayak Temple, Prabhadevi, Mumbai - 400 025. UIN: ICIHLIP25048V042425 Product Name: Elevate Toll free No. : 1800 2666 Alternate No.: 86552 22666 (Chargeable) Website : www.iciclombard.com E-mail : customersupport@icicilombard.com ICICI Lomba"
niva-bupa,policy-wording/niva-bupa/Aspire_Diamond_Plus.pdf,537021,41,True,"Product Name: Aspire | Product UIN: NBHHLIP26042V022526 ASPIRE- POLICY WORDINGS 1. Preamble You are a global citizen and the world is your playground. This Policy covers Allopathic treatments anywhere in the world. AYUSH treatments are covered in India only. After all, the world comes to us for the best of AYUSH. 2. Definitions It is IMPORTANT You should go through the definition of some words used in the policy. Definition of these may vary from the common understanding and colloquial meaning. "
niva-bupa,policy-wording/niva-bupa/Aspire_Gold_Plus.pdf,537021,41,True,"Product Name: Aspire | Product UIN: NBHHLIP26042V022526 ASPIRE- POLICY WORDINGS 1. Preamble You are a global citizen and the world is your playground. This Policy covers Allopathic treatments anywhere in the world. AYUSH treatments are covered in India only. After all, the world comes to us for the best of AYUSH. 2. Definitions It is IMPORTANT You should go through the definition of some words used in the policy. Definition of these may vary from the common understanding and colloquial meaning. "
niva-bupa,policy-wording/niva-bupa/Aspire_Platinum_Plus.pdf,537021,41,True,"Product Name: Aspire | Product UIN: NBHHLIP26042V022526 ASPIRE- POLICY WORDINGS 1. Preamble You are a global citizen and the world is your playground. This Policy covers Allopathic treatments anywhere in the world. AYUSH treatments are covered in India only. After all, the world comes to us for the best of AYUSH. 2. Definitions It is IMPORTANT You should go through the definition of some words used in the policy. Definition of these may vary from the common understanding and colloquial meaning. "
niva-bupa,policy-wording/niva-bupa/Aspire_Titanium_Plus.pdf,537021,41,True,"Product Name: Aspire | Product UIN: NBHHLIP26042V022526 ASPIRE- POLICY WORDINGS 1. Preamble You are a global citizen and the world is your playground. This Policy covers Allopathic treatments anywhere in the world. AYUSH treatments are covered in India only. After all, the world comes to us for the best of AYUSH. 2. Definitions It is IMPORTANT You should go through the definition of some words used in the policy. Definition of these may vary from the common understanding and colloquial meaning. "
niva-bupa,policy-wording/niva-bupa/GoActive.pdf,529656,69,True,"Product Name: GoActive, Product UIN: NBHHLIP26046V032526 GoActive Policy Wordings 1. Preamble T his is a contract of insurance between You and Us which is subject to the payment of the full premium in advance and the terms, conditions and exclusions to this Policy. This Policy has been issued on the basis of the Disclosure to Information Norm, including the information provided by You in respect of the Insured Persons in the Proposal Form and the Information Summary Sheet. Please inform Us immed"
niva-bupa,policy-wording/niva-bupa/Health_Companion.pdf,197324,27,True,"Product Name: Health Companion, Product UIN: NBHHLIP25040V082425 Health Companion Policy Document Variant 2022 and Variant 2023 1. Preamble This Policy covers Allopathic and AYUSH treatments taken in India ONLY. Expense incurred outside the policy period will NOT be covered. Unutilized Sum Insured will expire at the end of policy year. All applicable benefits and details are mentioned in your Policy Schedule. 2. Definitions 2.1. Standard Definitions: 2.1.1. Accident or Accidental means a sudden,"
niva-bupa,policy-wording/niva-bupa/Health_Premia_Gold.pdf,582230,109,True,"Product Name: Health Premia, Product UIN: MAXHLIP21176V022021 Health Premia Policy Wordings 1. Preamble This ‘Health Premia’ policy is a contract of insurance between You and Us which is subject to payment of full premium in advance and the terms, conditions and exclusions of this Policy. This Policy has been issued on the basis of the Disclosure to Information Norm, including the information provided by You in the Proposal Form and the Information Summary Sheet. Please inform Us immediately of "
niva-bupa,policy-wording/niva-bupa/Health_Premia_Platinum.pdf,582230,109,True,"Product Name: Health Premia, Product UIN: MAXHLIP21176V022021 Health Premia Policy Wordings 1. Preamble This ‘Health Premia’ policy is a contract of insurance between You and Us which is subject to payment of full premium in advance and the terms, conditions and exclusions of this Policy. This Policy has been issued on the basis of the Disclosure to Information Norm, including the information provided by You in the Proposal Form and the Information Summary Sheet. Please inform Us immediately of "
niva-bupa,policy-wording/niva-bupa/Health_Premia_Silver.pdf,582230,109,True,"Product Name: Health Premia, Product UIN: MAXHLIP21176V022021 Health Premia Policy Wordings 1. Preamble This ‘Health Premia’ policy is a contract of insurance between You and Us which is subject to payment of full premium in advance and the terms, conditions and exclusions of this Policy. This Policy has been issued on the basis of the Disclosure to Information Norm, including the information provided by You in the Proposal Form and the Information Summary Sheet. Please inform Us immediately of "
niva-bupa,policy-wording/niva-bupa/Health_Pulse_Classic.pdf,374359,63,True,"Product Name: Health Pulse, Product UIN: NBHHLIP26044V042526 Health Pulse Policy Document 1. Preamble T his ‘Niva Bupa Health Pulse’ policy is a contract of insurance between You and Us which is subject to payment of full premium in advance and the terms, conditions and exclusions of this Policy. This Policy has been issued on the basis of the Disclosure to Information Norm, including the information provided by You in the Proposal Form and the Information Summary Sheet. Please inform Us immedia"
niva-bupa,policy-wording/niva-bupa/Health_Pulse_Enhanced.pdf,374359,63,True,"Product Name: Health Pulse, Product UIN: NBHHLIP26044V042526 Health Pulse Policy Document 1. Preamble T his ‘Niva Bupa Health Pulse’ policy is a contract of insurance between You and Us which is subject to payment of full premium in advance and the terms, conditions and exclusions of this Policy. This Policy has been issued on the basis of the Disclosure to Information Norm, including the information provided by You in the Proposal Form and the Information Summary Sheet. Please inform Us immedia"
niva-bupa,policy-wording/niva-bupa/Health_Recharge_Super_TopUp.pdf,270657,50,True,"Product Name: Health Recharge, Product UIN: NBHHLIP22156V032122 Health Recharge Policy Wordings 1. Preamble This ‘Health Recharge’ policy is a contract of insurance between You and Us which is subject to payment of full premium in advance and the terms, conditions and exclusions of this Policy. This Policy has been issued on the basis of the Disclosure to Information Norm, including the information provided by You in the Proposal Form and / or the Information Summary Sheet. Please inform Us imme"
niva-bupa,policy-wording/niva-bupa/HeartBeat_Gold.pdf,1660373,72,True,"Policy Document Product Name: Heart Beat, Product UIN: NBHHLIP26048V092526 1. Preamble This ‘Heartbeat’ policy is a contract of insurance between You and Us which is subject to payment of full premium in advance and the terms, conditions and exclusions of this Policy. This Policy has been issued on the basis of the Disclosure to Information Norm, including the information provided by You in the Proposal Form and / or the Information Summary Sheet. Please inform Us immediately of any change in th"
niva-bupa,policy-wording/niva-bupa/HeartBeat_Platinum.pdf,1660373,72,True,"Policy Document Product Name: Heart Beat, Product UIN: NBHHLIP26048V092526 1. Preamble This ‘Heartbeat’ policy is a contract of insurance between You and Us which is subject to payment of full premium in advance and the terms, conditions and exclusions of this Policy. This Policy has been issued on the basis of the Disclosure to Information Norm, including the information provided by You in the Proposal Form and / or the Information Summary Sheet. Please inform Us immediately of any change in th"
niva-bupa,policy-wording/niva-bupa/ReAssure.pdf,258876,45,True,"Product Name: ReAssure, Product UIN: NBHHLIP25037V032425 ReAssure Policy Document 1. Preamble This ‘ReAssure’ policy is a contract of insurance between You and Us which is subject to payment of full premium in advance and the terms, conditions and exclusions of this Policy. This Policy has been issued on the basis of the Disclosure of Information, including the information provided by You in the Proposal Form and / or the Information Summary Sheet. Please inform Us immediately of any change in t"
niva-bupa,policy-wording/niva-bupa/ReAssure_2_Bronze_Plus.pdf,472137,36,True,"ReAssure 2.0_Policy Wordings Product Name: ReAssure 2.0, Product UIN: NBHHLIP26042V022526 1. Preamble This Policy covers Allopathic and AYUSH treatments taken in India ONLY. 2. Definitions It is IMPORTANT You should go through the definition of some words used in the policy. Definition of these may vary from the common understanding and colloquial meaning. If a word is not specifically defined in the following section, it’s common meaning will apply. 2.1. Standard Definitions: 2.1.1. Accident or"
